run_at,n_oos,winrate,phi10,z10,phi15,z15,runsZ,ac1,buckets10
2026-06-08 00:43:32,0,,,,,,,,(n<30)
2026-06-08 06:00:02,44,0.5227,0.0,0.0,0.368,-0.45,-0.6,0.0683,1
2026-06-08 12:00:03,110,0.5455,1.715,1.01,1.639,1.11,-0.11,0.0024,5
2026-06-08 18:00:01,183,0.5301,1.28,0.52,1.178,0.45,0.72,-0.0578,8
2026-06-09 00:00:03,236,0.5169,1.118,0.24,1.045,0.12,0.41,-0.0309,9
2026-06-09 06:00:01,288,0.5104,0.996,-0.01,0.967,-0.1,0.13,-0.0109,10
2026-06-09 12:00:04,352,0.5085,0.992,-0.02,0.922,-0.23,-0.53,0.0253,10
2026-06-09 18:00:01,416,0.512,0.991,-0.02,0.967,-0.11,-1.27,0.0596,12
2026-06-10 00:00:02,475,0.5179,1.083,0.2,0.976,-0.08,-1.31,0.0577,13
2026-06-10 06:00:06,544,0.5239,1.106,0.29,0.979,-0.08,-1.06,0.0438,16
2026-06-10 12:00:02,599,0.5259,1.109,0.3,0.996,-0.02,-0.71,0.0276,16
2026-06-10 18:00:01,674,0.5252,0.997,-0.01,0.976,-0.1,-0.09,0.0019,18
2026-06-11 00:00:01,750,0.524,0.901,-0.31,1.001,0.0,-0.16,0.0045,21
2026-06-11 06:00:01,799,0.5257,0.904,-0.3,1.055,0.26,-0.17,0.005,21
2026-06-11 12:00:02,857,0.5344,0.919,-0.25,1.063,0.3,-0.31,0.0095,21
2026-06-11 18:00:01,918,0.537,0.882,-0.38,1.019,0.09,-0.63,0.0197,22
2026-06-12 00:00:01,979,0.5393,0.85,-0.5,1.008,0.04,-0.55,0.0165,23
2026-06-12 06:00:01,1037,0.5381,0.848,-0.5,0.991,-0.05,-0.66,0.0194,23
2026-06-12 12:00:01,1083,0.5319,0.838,-0.54,0.981,-0.1,-0.75,0.0219,23
2026-06-12 18:00:02,1132,0.5292,0.834,-0.55,0.964,-0.19,-0.6,0.0171,23
2026-06-13 00:00:01,1192,0.526,0.83,-0.56,0.965,-0.19,-0.95,0.0268,23
2026-06-13 06:00:02,1248,0.5248,0.809,-0.66,1.055,0.3,-0.93,0.0257,25
2026-06-13 12:00:02,1336,0.5299,0.828,-0.64,1.1,0.58,-0.97,0.0258,29
2026-06-13 18:00:01,1401,0.5253,0.817,-0.68,1.089,0.52,-0.84,0.0218,29
2026-06-14 00:00:01,1473,0.5282,0.799,-0.8,1.118,0.71,-1.05,0.0269,33
2026-06-14 06:00:02,1524,0.523,0.795,-0.83,1.097,0.6,-1.0,0.0248,34
2026-06-14 12:00:02,1588,0.522,0.74,-1.1,1.075,0.47,-1.28,0.0315,37
2026-06-14 18:00:01,1650,0.5236,0.742,-1.1,1.072,0.47,-1.44,0.0349,37
2026-06-15 00:00:03,1709,0.5225,0.74,-1.1,1.085,0.55,-1.44,0.0343,37
2026-06-15 06:00:01,1782,0.5253,0.698,-1.33,1.05,0.33,-1.32,0.0306,40
2026-06-15 12:00:04,1835,0.5243,0.697,-1.34,1.05,0.34,-1.37,0.0316,40
2026-06-15 18:00:01,1900,0.5232,0.686,-1.41,1.055,0.38,-1.01,0.0227,41
2026-06-16 00:00:07,1969,0.5226,0.708,-1.35,1.057,0.4,-1.24,0.0275,44
2026-06-16 06:00:02,2029,0.5205,0.842,-0.75,1.124,0.89,-1.55,0.0339,46
2026-06-16 12:00:01,2091,0.5218,0.844,-0.74,1.134,0.97,-1.25,0.0269,46
2026-06-16 18:00:01,2154,0.5204,0.842,-0.77,1.134,0.99,-1.09,0.023,48
2026-06-17 00:00:17,2215,0.5205,0.86,-0.69,1.133,0.98,-1.09,0.0228,50
2026-06-17 06:00:03,2272,0.5194,0.859,-0.7,1.117,0.88,-1.19,0.0245,50
2026-06-17 12:00:01,2342,0.5184,0.864,-0.69,1.105,0.8,-0.85,0.017,52
2026-06-17 18:00:13,2400,0.5183,0.853,-0.75,1.096,0.74,-0.51,0.0099,53
2026-06-18 00:00:03,2450,0.5176,0.828,-0.9,1.073,0.57,-0.3,0.0057,55
2026-06-18 06:00:01,2502,0.5164,0.848,-0.8,1.107,0.85,-0.23,0.0042,56
2026-06-18 12:00:01,2555,0.5155,0.834,-0.88,1.094,0.75,-0.01,-0.0001,57
2026-06-18 18:00:01,2614,0.5164,0.836,-0.88,1.09,0.72,0.17,-0.0037,59
2026-06-19 00:00:04,2682,0.5164,0.815,-1.01,1.069,0.56,0.33,-0.0067,61
2026-06-19 06:00:01,2736,0.5161,0.815,-1.01,1.063,0.52,0.4,-0.008,61
2026-06-19 12:00:02,2784,0.5147,0.814,-1.02,1.057,0.47,0.43,-0.0084,61
2026-06-19 18:00:01,2840,0.5137,0.813,-1.03,1.048,0.4,0.42,-0.0081,61
2026-06-20 00:00:31,2885,0.5151,0.833,-0.92,1.051,0.43,0.33,-0.0064,62
2026-06-20 06:00:01,2936,0.514,0.832,-0.93,1.046,0.38,0.15,-0.0032,62
2026-06-20 12:00:01,3001,0.5155,0.852,-0.82,1.021,0.18,0.22,-0.0043,63
2026-06-20 18:00:02,3057,0.5146,0.851,-0.83,1.01,0.08,0.14,-0.0028,63
2026-06-21 00:00:01,3123,0.5139,0.841,-0.89,0.996,-0.03,0.2,-0.004,64
2026-06-21 06:00:11,3184,0.5119,0.838,-0.91,0.986,-0.12,0.03,-0.0009,64
2026-06-21 12:00:03,3227,0.5116,0.838,-0.91,0.981,-0.17,-0.13,0.0019,64
2026-06-21 18:00:04,3274,0.5131,0.915,-0.48,1.016,0.14,-0.28,0.0045,65
2026-06-22 00:00:02,3323,0.5125,0.913,-0.5,1.015,0.13,-0.26,0.0042,66
2026-06-22 06:00:01,3381,0.5129,0.913,-0.5,1.012,0.11,-0.08,0.0011,66
2026-06-22 12:00:02,3435,0.513,0.892,-0.63,1.005,0.04,0.12,-0.0024,68
2026-06-22 18:00:03,3497,0.5122,0.891,-0.63,1.028,0.25,0.05,-0.0012,68
2026-06-23 00:00:01,3537,0.5117,0.891,-0.63,1.022,0.2,0.08,-0.0017,68
2026-06-23 06:00:03,3583,0.5119,0.891,-0.63,1.019,0.18,0.12,-0.0022,68
2026-06-23 12:00:01,3625,0.5103,0.918,-0.48,1.015,0.13,0.14,-0.0026,69
2026-06-23 18:00:01,3666,0.5098,0.917,-0.48,1.015,0.14,0.02,-0.0007,69
2026-06-24 00:00:01,3695,0.5096,0.917,-0.48,1.015,0.14,-0.03,0.0002,69
2026-06-24 06:00:01,3720,0.5094,0.917,-0.48,1.015,0.14,-0.01,-0.0001,69
2026-06-24 12:00:01,3758,0.5096,0.917,-0.48,1.015,0.14,-0.01,-0.0001,69
2026-06-24 18:00:01,3784,0.51,0.918,-0.48,1.015,0.14,-0.07,0.0009,69
2026-06-25 00:00:23,3806,0.5089,0.916,-0.49,1.015,0.14,-0.14,0.0021,69
2026-06-25 06:00:01,3832,0.5089,0.916,-0.49,1.015,0.14,-0.14,0.002,69
2026-06-25 12:00:03,3863,0.5087,0.916,-0.49,1.016,0.14,0.03,-0.0008,69
2026-06-25 18:00:02,3888,0.5085,0.916,-0.49,1.016,0.14,0.05,-0.0011,69
2026-06-26 00:00:29,3910,0.5074,0.915,-0.5,1.016,0.15,0.05,-0.001,69
2026-06-26 06:00:01,3937,0.5062,0.914,-0.5,1.017,0.16,0.03,-0.0007,69
2026-06-26 12:00:02,3964,0.5061,0.913,-0.5,1.017,0.16,0.04,-0.0009,69
2026-06-26 18:00:03,4001,0.5056,0.913,-0.51,1.023,0.21,-0.01,-0.0001,69
2026-06-27 00:00:02,4025,0.5056,0.913,-0.51,1.023,0.21,-0.1,0.0014,69
2026-06-27 06:00:09,4057,0.5046,0.912,-0.51,1.023,0.21,-0.17,0.0024,69
2026-06-27 12:00:03,4099,0.504,0.912,-0.52,1.019,0.17,-0.17,0.0024,69
2026-06-27 18:00:04,4123,0.503,0.911,-0.52,1.015,0.14,-0.23,0.0034,69
2026-06-28 00:01:24,4155,0.5023,0.91,-0.52,1.01,0.09,-0.29,0.0043,69
2026-06-28 06:00:04,4186,0.5014,0.91,-0.53,1.011,0.1,-0.18,0.0026,69
2026-06-28 12:00:04,4208,0.501,0.909,-0.53,1.006,0.06,-0.18,0.0026,69
2026-06-28 18:00:11,4242,0.5007,0.909,-0.53,1.002,0.02,-0.12,0.0016,69
2026-06-29 00:00:01,4269,0.5008,0.909,-0.53,1.002,0.02,-0.08,0.0009,69
2026-06-29 06:00:05,4301,0.4999,0.908,-0.53,1.002,0.02,-0.23,0.0033,69
2026-06-29 12:00:01,4334,0.5002,0.909,-0.53,1.002,0.02,-0.15,0.0021,69
2026-06-29 18:00:01,4366,0.5005,0.909,-0.53,1.002,0.02,-0.27,0.0039,69
2026-06-30 00:00:02,4392,0.5005,0.899,-0.6,0.997,-0.02,-0.33,0.0048,70
