date,system,pattern,wins,losses,n,win_rate
2026-06-12,v3,niconico|dragon|P,645,655,1300,49.62
2026-06-12,v3,niconico|niconico|B,197,188,385,51.17
2026-06-12,v3,sansan|telecho|P,131,111,242,54.13
2026-06-12,v3,telecho|niconico|P,522,549,1071,48.74
2026-06-12,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-12,v3,telecho|telecho|B,1139,1014,2153,52.90
2026-06-12,v4,bline|telecho|B,454,423,877,51.77
2026-06-12,v4,niconico|dragon|B,156,161,317,49.21
2026-06-12,v4,sansan|telecho|P,43,26,69,62.32
2026-06-12,v4,telecho|niconico|B,122,120,242,50.41
2026-06-12,v4,telecho|niconico|P,128,104,232,55.17
2026-06-12,v4,telecho|telecho|B,282,241,523,53.92
2026-06-13,v3,niconico|dragon|P,669,679,1348,49.63
2026-06-13,v3,niconico|niconico|B,206,196,402,51.24
2026-06-13,v3,sansan|telecho|P,136,114,250,54.40
2026-06-13,v3,telecho|niconico|P,545,571,1116,48.84
2026-06-13,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-13,v3,telecho|telecho|B,1170,1048,2218,52.75
2026-06-13,v4,bline|telecho|B,519,499,1018,50.98
2026-06-13,v4,niconico|dragon|B,185,186,371,49.87
2026-06-13,v4,sansan|telecho|P,48,29,77,62.34
2026-06-13,v4,telecho|niconico|B,143,142,285,50.18
2026-06-13,v4,telecho|niconico|P,151,126,277,54.51
2026-06-13,v4,telecho|telecho|B,313,275,588,53.23
2026-06-14,v3,niconico|dragon|P,700,719,1419,49.33
2026-06-14,v3,niconico|niconico|B,223,201,424,52.59
2026-06-14,v3,sansan|telecho|P,143,119,262,54.58
2026-06-14,v3,telecho|niconico|P,563,587,1150,48.96
2026-06-14,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-14,v3,telecho|telecho|B,1231,1105,2336,52.70
2026-06-14,v4,bline|telecho|B,611,579,1190,51.34
2026-06-14,v4,niconico|dragon|B,211,214,425,49.65
2026-06-14,v4,sansan|telecho|P,55,34,89,61.80
2026-06-14,v4,telecho|niconico|B,167,171,338,49.41
2026-06-14,v4,telecho|niconico|P,169,143,312,54.17
2026-06-14,v4,telecho|telecho|B,374,332,706,52.97
2026-06-15,v3,niconico|dragon|P,728,760,1488,48.92
2026-06-15,v3,niconico|niconico|B,232,206,438,52.97
2026-06-15,v3,sansan|telecho|P,151,121,272,55.51
2026-06-15,v3,telecho|niconico|P,585,613,1198,48.83
2026-06-15,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-15,v3,telecho|telecho|B,1298,1153,2451,52.96
2026-06-15,v4,bline|telecho|B,704,664,1368,51.46
2026-06-15,v4,niconico|dragon|B,240,252,492,48.78
2026-06-15,v4,sansan|telecho|P,63,36,99,63.64
2026-06-15,v4,telecho|niconico|B,193,211,404,47.77
2026-06-15,v4,telecho|niconico|P,191,169,360,53.06
2026-06-15,v4,telecho|telecho|B,441,380,821,53.71
2026-06-16,v3,niconico|dragon|P,761,796,1557,48.88
2026-06-16,v3,niconico|niconico|B,240,219,459,52.29
2026-06-16,v3,sansan|telecho|P,159,130,289,55.02
2026-06-16,v3,telecho|niconico|P,605,636,1241,48.75
2026-06-16,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-16,v3,telecho|telecho|B,1354,1202,2556,52.97
2026-06-16,v4,bline|telecho|B,804,762,1566,51.34
2026-06-16,v4,niconico|dragon|B,270,291,561,48.13
2026-06-16,v4,sansan|telecho|P,71,45,116,61.21
2026-06-16,v4,telecho|niconico|B,216,239,455,47.47
2026-06-16,v4,telecho|niconico|P,211,192,403,52.36
2026-06-16,v4,telecho|telecho|B,497,429,926,53.67
2026-06-17,v3,niconico|dragon|P,793,827,1620,48.95
2026-06-17,v3,niconico|niconico|B,253,227,480,52.71
2026-06-17,v3,sansan|telecho|P,168,138,306,54.90
2026-06-17,v3,telecho|niconico|P,629,665,1294,48.61
2026-06-17,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-17,v3,telecho|telecho|B,1405,1251,2656,52.90
2026-06-17,v4,bline|telecho|B,900,855,1755,51.28
2026-06-17,v4,niconico|dragon|B,298,317,615,48.46
2026-06-17,v4,sansan|telecho|P,80,53,133,60.15
2026-06-17,v4,telecho|niconico|B,244,267,511,47.75
2026-06-17,v4,telecho|niconico|P,235,221,456,51.54
2026-06-17,v4,telecho|telecho|B,548,478,1026,53.41
2026-06-18,v3,niconico|dragon|P,824,856,1680,49.05
2026-06-18,v3,niconico|niconico|B,259,236,495,52.32
2026-06-18,v3,sansan|telecho|P,177,144,321,55.14
2026-06-18,v3,telecho|niconico|P,645,683,1328,48.57
2026-06-18,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-18,v3,telecho|telecho|B,1442,1298,2740,52.63
2026-06-18,v4,bline|telecho|B,984,927,1911,51.49
2026-06-18,v4,niconico|dragon|B,344,346,690,49.86
2026-06-18,v4,sansan|telecho|P,89,59,148,60.14
2026-06-18,v4,telecho|niconico|B,268,293,561,47.77
2026-06-18,v4,telecho|niconico|P,251,239,490,51.22
2026-06-18,v4,telecho|telecho|B,586,525,1111,52.75
